Year,Wages,Purchases,Profit,Depreciation,Rent,Utilities,Other Costs,Wages-Commissions,Wages-Employee Insurance,Wages-Other,Purchases-Other,Rent-Other,Other Costs-Repair and Maintenance,Other Costs-Vehicle Costs,Other Costs-Other
2008,17.3,31.7,8.0,5.8,6.7,2.7,27.8,6.4,0.7,92.9,100.0,100.0,0.6,1.0,98.4
2009,17.8,30.6,7.9,5.9,6.8,2.7,28.3,4.0,0.6,95.4,100.0,100.0,0.6,1.0,98.4
2010,18.8,31.5,7.1,5.8,6.6,2.8,27.4,4.0,0.7,95.3,100.0,100.0,0.6,1.1,98.3
2011,18.9,32.5,7.6,5.8,6.5,2.9,25.8,3.9,0.7,95.4,100.0,100.0,0.6,1.1,98.3
2012,18.5,32.5,8.5,5.8,6.4,2.9,25.4,3.7,0.6,95.7,100.0,100.0,0.6,1.1,98.3
2013,18.3,32.5,9.3,5.8,6.3,3.1,24.7,4.7,0.6,94.7,100.0,100.0,0.6,1.1,98.3
2014,18.4,32.3,9.2,5.9,6.3,3.1,24.8,4.6,0.7,94.7,100.0,100.0,0.6,1.2,98.2
2015,18.9,30.8,8.9,5.9,6.3,3.1,26.1,4.3,0.5,95.2,100.0,100.0,0.6,1.2,98.2
2016,19.2,30.3,8.9,6.0,6.4,3.1,26.1,4.0,0.5,95.5,100.0,100.0,0.6,1.1,98.3
2017,19.1,31.0,8.8,6.0,6.5,3.1,25.5,3.7,0.5,95.8,100.0,100.0,0.6,1.1,98.3
2018,19.4,31.9,8.5,6.0,6.8,3.3,24.1,4.1,0.5,95.4,100.0,100.0,0.6,1.0,98.4
2019,18.8,31.0,8.6,6.0,6.5,3.5,25.6,4.0,0.6,95.4,100.0,100.0,0.6,1.0,98.4
2020,19.2,32.2,7.8,6.5,7.3,3.7,23.3,4.1,0.6,95.3,100.0,100.0,0.6,1.1,98.3
2021,18.2,35.1,0.8,16.9,8.8,3.9,16.3,4.1,0.6,95.3,100.0,100.0,0.6,1.1,98.3
2022,17.2,35.5,3.6,14.5,8.9,3.7,16.6,4.1,0.6,95.3,100.0,100.0,0.6,1.1,98.3
2023,15.6,29.8,9.6,10.1,7.1,3.7,24.1,4.1,0.6,95.3,100.0,100.0,0.6,1.1,98.3
2024,16.1,28.8,11.4,7.9,7.1,3.6,25.1,4.1,0.6,95.3,100.0,100.0,0.6,1.1,98.3
2025,16.2,28.7,11.2,7.0,7.2,3.5,26.2,4.1,0.6,95.3,100.0,100.0,0.6,1.1,98.3
2026,15.7,28.5,11.4,9.8,7.2,3.3,24.1,,,100.0,100.0,100.0,,,100.0
